"Actions","Acties"
"Make sure the carrier is available for the selected customer group.","Zorg ervoor dat de vervoerder beschikbaar is voor de geselecteerde klantgroep."
"Make sure the payment method is available for selected customer group and the selected carrier.","Zorg ervoor dat de betaalmethode beschikbaar is voor de geselecteerde klantgroep en de geselecteerde vervoerder."
"Employee","Admin gebruiker"
"The employee each imported order is assigned to (used by Prestashop for order history and stock update logs)","De admin gebruiker waaraan geïmporteerde orders worden toegekend (door Prestashop wordt deze gebruikt om order historie en voorraad updates op te slaan)"
"EffectConnect Marketplaces Payment","EffectConnect Marketplaces Betaalmodule"
"Used as a payment module for importing EffectConnect orders.","Kan gebruikt worden als betaalmethode voor het importeren van EffectConnect orders."
"Are you sure you want to uninstall the EffectConnect Marketplaces Payment module?","Weet je zeker dat je de EffectConnect Marketplaces Payment module wil verwijderen?"
"The payment module could not be symlinked.","Het aanmaken van een symlink naar de betaalmodule is niet gelukt."
"The payment module could not be symlinked (message: %s).","Het aanmaken van een symlink naar de betaalmodule is niet gelukt (melding: %s)."
"The payment module is not correctly symlinked.","Er is iets mis met de symlink naar de betaalmodule."
"The payment module was already installed and can be used now.","De betaalmodule was al geïnstalleerd en kan worden gebruikt."
"The payment module could not be enabled.","De betaalmodule kon niet worden geactiveerd."
"The payment module was successfully enabled and can be used now.","De betaalmodule is geactiveerd en kan worden gebruikt."
"The payment module could not be enabled (message: %s).","De betaalmodule kon niet worden geactiveerd (melding: %s)."
"The payment module could not be installed.","De betaalmodule kon niet worden geïnstalleerd."
"The payment module was successfully installed and can be used now.","De betaalmodule is geïnstalleerd en kan worden gebruikt."
"The payment module could not be installed (message: %s).","De betaalmodule kon niet worden geïnstalleerd (melding: %s)."
"It's recommended to use the EffectConnect Marketplaces Payment module, but it could not be found. Please contact the support team.","We raden aan om de EffectConnect Marketplaces Betaalmodule te gebruiken, maar de module kon niet worden gevonden. Neem contact op met het support team."
"The EffectConnect Marketplaces plugin includes a payment module. It's recommended to use this payment module, because we can't expect other payment methods to be compatible with our plugin. To use it, please install and enable it.","De EffectConnect Marketplaces plugin heeft een eigen betaalmodule. We raden aan om deze module te gebruiken, omdat we er niet van uit kunnen gaan dat externe betaalmodules goed kunnen samenwerken met de EffectConnect Marketplaces module. Om onze betaalmodule te gebruiken, dient deze eerst geïnstalleerd en geactiveerd te worden."
"Install and enable payment module","Betaalmodule installeren en activeren"
"It's recommended to use the EffectConnect Marketplaces Payment module, because we can't expect other payment methods to be compatible with our plugin.","We raden aan om de EffectConnect Marketplaces Betaalmodule te gebruiken, omdat we er niet van uit kunnen gaan dat externe betaalmodules goed kunnen samenwerken met onze EffectConnect Marketplaces module."
"Install and enable payment module?","Betaalmodule installeren en activeren?"
"Install and enable module","Module installeren en activeren"
"This action will navigate away from the current page and unsaved changes could be lost. Make sure to save them before you continue.","Met deze actie wordt de pagina vernieuwd en kunnen mogelijk onopgeslagen gegevens verloren gaan. Sla deze gegevens eerst op alvorens verder te gaan."
"Available for order","Bestelbaar"
"Yes","Ja"
"Width","Breedte"
"Height","Hoogte"
"Depth","Diepte"
"Weight","Gewicht"
"Invoice payment name","Betaalmethode op factuur"
